model,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,val_roc_auc,val_pr_auc,val_brier,val_f1_at_0.5,val_best_threshold,val_ev_per_customer,search_seconds,best_params
stacking_ensemble,0.8678457263307149,0.004100492731473942,0.7132676503763211,0.8592640012393276,0.6958579900592934,0.12978852564649962,0.6202277294038848,0.29,-115.35833333333333,203.8,"{""final_estimator__C"": 3.214343, ""final_estimator__class_weight"": null}"
hist_gradient_boosting,0.8659913659410428,0.0037078448916561977,0.7089212956776005,0.8584421494357815,0.6926928115144843,0.1291168049760752,0.6035182679296346,0.29,-115.10833333333333,42.4,"{""l2_regularization"": 0.001228, ""learning_rate"": 0.017836, ""max_features"": 0.829472, ""max_iter"": 450, ""max_leaf_nodes"": 14, ""min_samples_leaf"": 59}"
random_forest,0.8629289335924394,0.0035687195811573017,0.6995168148424294,0.8558154131101026,0.6920052640664929,0.15263707655603187,0.6438923395445134,0.29,-117.55833333333334,175.1,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""max_features"": 0.4, ""min_samples_leaf"": 22, ""n_estimators"": 271}"
gradient_boosting,0.8681829546965103,0.004683645744661798,0.7125513686871636,0.8589917592697536,0.6909648430052971,0.12934773682033227,0.5993079584775086,0.29,-115.15833333333333,103.4,"{""learning_rate"": 0.05116, ""max_depth"": 2, ""min_samples_leaf"": 17, ""n_estimators"": 365, ""subsample"": 0.799203}"
logistic_regression,0.8670791687502769,0.005591291463977455,0.7118069285532009,0.8580406210078535,0.6862682644495233,0.12955678448245678,0.606726149622512,0.29,-115.225,37.9,"{""C"": 0.458748, ""class_weight"": null, ""l1_ratio"": 0.5}"
